日期,拉取量,曝光量,曝光率,点击量,点击率,eCPM,收入
2025-04-29,139,51,36.69%,3,5.88%,9.41,0.48
2025-04-28,23,4,17.39%,0,0.00%,2.50,0.01
2025-04-27,16,6,37.50%,0,0.00%,16.67,0.10
2025-04-26,397,143,36.02%,8,5.59%,10.07,1.44
2025-04-25,18,9,50.00%,0,0.00%,6.67,0.06
2025-04-24,91,40,43.96%,5,12.50%,4.75,0.19
2025-04-23,188,78,41.49%,0,0.00%,4.87,0.38
2025-04-22,557,204,36.62%,4,1.96%,5.49,1.12
2025-04-21,39,14,35.90%,0,0.00%,2.14,0.03
2025-04-20,403,143,35.48%,3,2.10%,4.90,0.70
2025-04-19,371,117,31.54%,2,1.71%,5.90,0.69
2025-04-18,159,69,43.40%,0,0.00%,10.72,0.74
2025-04-17,323,108,33.44%,3,2.78%,4.44,0.48
2025-04-16,245,90,36.73%,1,1.11%,14.56,1.31
2025-04-15,33,13,39.39%,0,0.00%,11.54,0.15
2025-04-14,870,360,41.38%,21,5.83%,6.11,2.20
2025-04-13,310,110,35.48%,2,1.82%,25.36,2.79
2025-04-12,74,21,28.38%,0,0.00%,9.05,0.19
2025-04-11,574,200,34.84%,6,3.00%,4.75,0.95
2025-04-10,"1,168",430,36.82%,32,7.44%,8.79,3.78
2025-04-09,557,220,39.50%,21,9.55%,25.95,5.71
2025-04-08,20,9,45.00%,0,0.00%,4.44,0.04
2025-04-07,8,2,25.00%,0,0.00%,0.00,0.00
2025-04-06,84,25,29.76%,0,0.00%,6.80,0.17
2025-04-05,429,114,26.57%,3,2.63%,8.86,1.01
2025-04-04,545,206,37.80%,22,10.68%,10.58,2.18
2025-04-03,304,82,26.97%,1,1.22%,6.10,0.50
2025-04-02,31,9,29.03%,0,0.00%,2.22,0.02
