日期,广告位名称,广告模式,拉取量,曝光量,曝光率,点击量,点击率,eCPM,收入
2025-04-29,2,自主接入,19,8,42.11%,0,0.00%,37.50,0.30
2025-04-29,3,自主接入,17,6,35.29%,1,16.67%,6.67,0.04
2025-04-29,pages/index/index-100,自主接入,16,5,31.25%,0,0.00%,4.00,0.02
2025-04-29,5,自主接入,23,8,34.78%,1,12.50%,8.75,0.07
2025-04-29,2022-01-31_原生模板广告_副本,自主接入,29,16,55.17%,1,6.25%,0.63,0.01
2025-04-29,pages/index/index-1,自主接入,12,5,41.67%,0,0.00%,2.00,0.01
2025-04-28,pages/index/index-100,自主接入,2,1,50.00%,0,0.00%,0.00,0.00
2025-04-28,2022-01-31_原生模板广告_副本,自主接入,12,1,8.33%,0,0.00%,0.00,0.00
2025-04-28,pages/index/index-1,自主接入,1,1,100.00%,0,0.00%,0.00,0.00
2025-04-27,pages/index/index-100,自主接入,3,2,66.67%,0,0.00%,10.00,0.02
2025-04-27,pages/index/index-1,自主接入,2,2,100.00%,0,0.00%,5.00,0.01
2025-04-26,2,自主接入,71,29,40.85%,1,3.45%,27.59,0.80
2025-04-26,3,自主接入,38,11,28.95%,2,18.18%,13.64,0.15
2025-04-26,pages/index/index-100,自主接入,23,10,43.48%,2,20.00%,15.00,0.15
2025-04-26,5,自主接入,87,12,13.79%,0,0.00%,7.50,0.09
2025-04-26,2022-01-31_原生模板广告_副本,自主接入,86,54,62.79%,3,5.56%,0.19,0.01
2025-04-26,pages/index/index-1,自主接入,28,12,42.86%,0,0.00%,5.00,0.06
2025-04-26,pages/type/type-1,自主接入,10,3,30.00%,0,0.00%,0.00,0.00
2025-04-26,pages/user/user-1,自主接入,16,3,18.75%,0,0.00%,3.33,0.01
2025-04-25,pages/index/index-100,自主接入,4,2,50.00%,0,0.00%,0.00,0.00
2025-04-25,2022-01-31_原生模板广告_副本,自主接入,2,2,100.00%,0,0.00%,0.00,0.00
2025-04-25,pages/faxian/faxian-1,自主接入,1,1,100.00%,0,0.00%,10.00,0.01
2025-04-25,pages/index/index-1,自主接入,2,2,100.00%,0,0.00%,10.00,0.02
2025-04-24,2,自主接入,13,5,38.46%,0,0.00%,20.00,0.10
2025-04-24,3,自主接入,15,4,26.67%,2,50.00%,0.00,0.00
2025-04-24,pages/index/index-100,自主接入,8,4,50.00%,1,25.00%,2.50,0.01
2025-04-24,5,自主接入,18,7,38.89%,0,0.00%,4.29,0.03
2025-04-24,2022-01-31_原生模板广告_副本,自主接入,12,7,58.33%,0,0.00%,0.00,0.00
2025-04-24,pages/index/index-1,自主接入,8,8,100.00%,1,12.50%,2.50,0.02
2025-04-24,pages/user/user-1,自主接入,2,1,50.00%,0,0.00%,0.00,0.00
2025-04-23,2,自主接入,17,3,17.65%,0,0.00%,33.33,0.10
2025-04-23,3,自主接入,28,8,28.57%,0,0.00%,3.75,0.03
2025-04-23,pages/index/index-100,自主接入,30,13,43.33%,0,0.00%,5.38,0.07
2025-04-23,5,自主接入,20,3,15.00%,0,0.00%,3.33,0.01
2025-04-23,2022-01-31_原生模板广告_副本,自主接入,38,23,60.53%,0,0.00%,0.43,0.01
2025-04-23,pages/index/index-1,自主接入,16,12,75.00%,0,0.00%,2.50,0.03
2025-04-23,pages/type/type-1,自主接入,3,2,66.67%,0,0.00%,0.00,0.00
2025-04-23,pages/user/user-1,自主接入,13,4,30.77%,0,0.00%,0.00,0.00
2025-04-22,2,自主接入,80,22,27.50%,0,0.00%,33.18,0.73
2025-04-22,3,自主接入,64,17,26.56%,1,5.88%,2.94,0.05
2025-04-22,pages/index/index-100,自主接入,50,20,40.00%,0,0.00%,3.50,0.07
2025-04-22,5,自主接入,115,41,35.65%,3,7.32%,1.71,0.07
2025-04-22,2022-01-31_原生模板广告_副本,自主接入,97,48,49.48%,0,0.00%,0.42,0.02
2025-04-22,pages/faxian/faxian-1,自主接入,25,3,12.00%,0,0.00%,0.00,0.00
2025-04-22,pages/index/index-1,自主接入,40,27,67.50%,0,0.00%,2.22,0.06
2025-04-22,pages/type/type-2,自主接入,10,1,10.00%,0,0.00%,0.00,0.00
2025-04-22,pages/user/user-1,自主接入,16,3,18.75%,0,0.00%,3.33,0.01
2025-04-22,pages/index/index-1,自主接入,1,1,100.00%,0,0.00%,0.00,0.00
