日期,总收入（元）,激励广告（元）,插屏广告（元）,原生模板广告（元）,封面广告（元）,Banner广告（元）
2025-04-29,10.49,0.30,0.07,0.09,0.02,--
2025-04-28,0.01,--,0.00,0.00,0.01,--
2025-04-27,0.10,--,0.02,0.02,0.06,--
2025-04-26,1.43,0.80,0.32,0.19,0.13,--
2025-04-25,0.06,--,0.01,0.04,0.01,--
2025-04-24,0.20,0.10,0.02,0.06,0.01,--
2025-04-23,0.38,0.10,0.12,0.07,0.09,--
2025-04-22,1.12,0.73,0.13,0.18,0.08,0.00
2025-04-21,0.04,--,0.03,0.00,0.00,--
2025-04-20,0.70,0.40,0.17,0.07,0.06,--
2025-04-19,0.69,0.29,0.19,0.04,0.17,--
2025-04-18,0.73,0.63,0.06,0.02,0.03,--
2025-04-17,0.48,0.28,0.10,0.05,0.05,--
2025-04-16,1.32,1.07,0.10,0.13,0.01,--
2025-04-15,0.16,0.12,0.03,0.00,0.00,--
2025-04-14,2.19,1.48,0.25,0.21,0.26,--
2025-04-13,2.79,2.49,0.11,0.15,0.04,--
2025-04-12,0.19,0.13,0.02,0.03,0.01,--
2025-04-11,0.95,0.35,0.22,0.20,0.18,--
2025-04-10,3.78,1.93,0.70,0.71,0.44,--
2025-04-09,5.72,4.27,0.65,0.62,0.17,--
2025-04-08,0.04,0.01,0.00,0.02,0.01,--
2025-04-07,0.00,--,--,0.00,0.00,--
2025-04-06,0.16,0.02,0.09,0.03,0.03,--
2025-04-05,1.01,0.49,0.36,0.12,0.04,--
2025-04-04,2.18,0.80,0.66,0.41,0.31,--
2025-04-03,0.51,0.12,0.04,0.05,0.29,--
2025-04-02,0.02,0.01,0.00,0.01,0.00,--
